sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
Two horses standing in a field with trees in the background.,A black and white bird on a body of water with grass in the background.,0.4,two horses standing in a field with trees in the background,a black and white bird on a body of water with grass in the background,two horses standing field trees background,black white bird body water grass background,0.85,0.86,0.61
Red double decker bus driving down a street.,A red two story bus driving along the street.,3.8,red double decker bus driving down a street,a red two story bus driving along the street,red double decker bus driving street,red two story bus driving along street,0.81,0.84,0.8
A red double decker bus on a crowded street.,A double decker bus on a city street.,4.2,a red double decker bus on a crowded street,a double decker bus on a city street,red double decker bus crowded street,double decker bus city street,0.95,0.95,0.91
A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,3.6,a jockey riding a horse in a pen,a jockey rides a horse at a gallop,jockey riding horse pen,jockey rides horse gallop,0.92,0.93,0.88
The udders of a dairy cow that is standing in a pasture near a large building.,The black and brown cow is standing on the green grass.,2.0,the udders of a dairy cow that is standing in a pasture near a large building,the black and brown cow is standing on the green grass,udders dairy cow standing pasture near large building,black brown cow standing green grass,0.79,0.8,0.64
A woman posing by a pillar with a U2 sign.,"a woman is standing by a pillar where ""u2"" is written.",4.2,a woman posing by a pillar with a u sign,a woman is standing by a pillar where u is written,woman posing pillar u sign,woman standing pillar u written,0.85,0.89,0.85
One Asian and one occasion woman in glasses smiling with their thumbs up.,Two women are posing for the camera and giving the thumbs up sign.,3.4,one asian and one occasion woman in glasses smiling with their thumbs up,two women are posing for the camera and giving the thumbs up sign,one asian one occasion woman glasses smiling thumbs,two women posing camera giving thumbs sign,0.87,0.88,0.73
A black train moves down the tracks.,A mostly black train on a track.,3.0,a black train moves down the tracks,a mostly black train on a track,black train moves tracks,mostly black train track,0.82,0.84,0.82
The brown dog is resting his head on a white pillow.,A tan dog is lying on a couch and has its head on a white pillow.,3.4,the brown dog is resting his head on a white pillow,a tan dog is lying on a couch and has its head on a white pillow,brown dog resting head white pillow,tan dog lying couch head white pillow,0.94,0.93,0.91
The black and brown cow is looking at the camera.,The black and white bull is looking at the camera.,3.6,the black and brown cow is looking at the camera,the black and white bull is looking at the camera,black brown cow looking camera,black white bull looking camera,0.97,0.97,0.91
A smiling woman holding a small baby.,Two smiling women holding a baby.,3.0,a smiling woman holding a small baby,two smiling women holding a baby,smiling woman holding small baby,two smiling women holding baby,0.88,0.9,0.89
A coal train traveling down the tracks.,An old train sits idle on the tracks.,2.0,a coal train traveling down the tracks,an old train sits idle on the tracks,coal train traveling tracks,old train sits idle tracks,0.8,0.82,0.7
World news headlines displayed on a large screen.,A man dressed for a race relaxes.,0.0,world news headlines displayed on a large screen,a man dressed for a race relaxes,world news headlines displayed large screen,man dressed race relaxes,0.53,0.55,0.27
A red and white plane flying on a sunny day.,Red and white plane flying through the air.,4.2,a red and white plane flying on a sunny day,red and white plane flying through the air,red white plane flying sunny day,red white plane flying air,0.81,0.83,0.88
A black and white photo of an old train station.,A black and white photo of a cat sitting on a sofa.,0.8,a black and white photo of an old train station,a black and white photo of a cat sitting on a sofa,black white photo old train station,black white photo cat sitting sofa,0.86,0.86,0.74
A bicycle in front of some ruins.,A pink bicycle is in front of a building.,2.2,a bicycle in front of some ruins,a pink bicycle is in front of a building,bicycle front ruins,pink bicycle front building,0.89,0.89,0.81
Red double decker bus on side of street.,A red double decker bus on a crowded street.,3.8,red double decker bus on side of street,a red double decker bus on a crowded street,red double decker bus side street,red double decker bus crowded street,0.86,0.88,0.94
An elderly Asian couple pose with a yawning baby at a dinner table.,An older Asian couple poses with a newborn baby at the dinner table.,4.4,an elderly asian couple pose with a yawning baby at a dinner table,an older asian couple poses with a newborn baby at the dinner table,elderly asian couple pose yawning baby dinner table,older asian couple poses newborn baby dinner table,0.95,0.95,0.92
Brown and white ducks walking on green grass.,A red and white plane flying on a sunny day.,0.0,brown and white ducks walking on green grass,a red and white plane flying on a sunny day,brown white ducks walking green grass,red white plane flying sunny day,0.74,0.74,0.68
People ride mopeds in an urban setting.,People riding horses in a fenced area.,1.4,people ride mopeds in an urban setting,people riding horses in a fenced area,people ride mopeds urban setting,people riding horses fenced area,0.77,0.78,0.68
Large silver locomotive engine in a shed.,The silver train is parked in a station.,2.6,large silver locomotive engine in a shed,the silver train is parked in a station,large silver locomotive engine shed,silver train parked station,0.76,0.78,0.59
Two people sitting on a large motorcycle.,Two eagles sitting on a long branch.,0.4,two people sitting on a large motorcycle,two eagles sitting on a long branch,two people sitting large motorcycle,two eagles sitting long branch,0.84,0.84,0.71
A scantily clad woman is standing next to a car.,A yellow and orange bird hold on to the side of a cage.,0.0,a scantily clad woman is standing next to a car,a yellow and orange bird hold on to the side of a cage,scantily clad woman standing next car,yellow orange bird hold side cage,0.74,0.75,0.46
Several televisions are on the floor and stacked up on top of one another.,"Three televisions, on on the floor, the other two on a box.",3.2,several televisions are on the floor and stacked up on top of one another,three televisions on on the floor the other two on a box,several televisions floor stacked top one another,three televisions floor two box,0.88,0.93,0.82
Sheep are grazing in a grassy field near a stand of trees.,Sheep are grazing in the field in front of a line of trees.,4.6,sheep are grazing in a grassy field near a stand of trees,sheep are grazing in the field in front of a line of trees,sheep grazing grassy field near stand trees,sheep grazing field front line trees,0.92,0.92,0.89
The small dog protects its owner.,The back of the stop sign is adorned with stickers.,0.0,the small dog protects its owner,the back of the stop sign is adorned with stickers,small dog protects owner,back stop sign adorned stickers,0.64,0.67,0.36
A black-and-white photo of a loveseat.,A black and white photo of an old train station.,1.2,a black and white photo of a loveseat,a black and white photo of an old train station,black white photo loveseat,black white photo old train station,0.75,0.89,0.77
the back of a stop sign with many stickers on it.,The back of a sign with stickers on.,3.8,the back of a stop sign with many stickers on it,the back of a sign with stickers on,back stop sign many stickers,back sign stickers,0.94,0.96,0.88
Living room or den with large screen television.,Living room with tan furniture and flat screen television.,3.2,living room or den with large screen television,living room with tan furniture and flat screen television,living room den large screen television,living room tan furniture flat screen television,0.87,0.88,0.86
Two women sitting in lawn chairs.,Two women are sitting in a cafe.,2.6,two women sitting in lawn chairs,two women are sitting in a cafe,two women sitting lawn chairs,two women sitting cafe,0.84,0.83,0.84
A doubly decker red bus driving down the road.,A red double decker bus driving down a street.,5.0,a doubly decker red bus driving down the road,a red double decker bus driving down a street,doubly decker red bus driving road,red double decker bus driving street,0.94,0.94,0.91
The black bird is sitting on the ground.,The back of a pig under a tree with a cow in the background.,0.0,the black bird is sitting on the ground,the back of a pig under a tree with a cow in the background,black bird sitting ground,back pig tree cow background,0.82,0.83,0.6
A Das Air Cargo plane sits on the runway.,A passenger plane parked on a runway.,3.2,a das air cargo plane sits on the runway,a passenger plane parked on a runway,das air cargo plane sits runway,passenger plane parked runway,0.8,0.86,0.78
A kitchen with wood cabinets and dining table.,A kitchen with wooden cabinets and furniture.,4.4,a kitchen with wood cabinets and dining table,a kitchen with wooden cabinets and furniture,kitchen wood cabinets dining table,kitchen wooden cabinets furniture,0.94,0.93,0.88
A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.,A motorcycle is parked by a mural of a city in the evening.,3.4,a motorcycles is parked near a wall covered with a graffiti scene of a cityscape,a motorcycle is parked by a mural of a city in the evening,motorcycles parked near wall covered graffiti scene cityscape,motorcycle parked mural city evening,0.91,0.92,0.78
Two boys sit facing one another at a table and one points at the other.,Two people sit facing each other at a table as one points at the other.,4.4,two boys sit facing one another at a table and one points at the other,two people sit facing each other at a table as one points at the other,two boys sit facing one another table one points,two people sit facing table one points,0.97,0.97,0.94
Two white dogs are swimming in the water.,The birds are swimming in the water.,0.8,two white dogs are swimming in the water,the birds are swimming in the water,two white dogs swimming water,birds swimming water,0.91,0.91,0.78
Large white cruise ship floating on water.,Large cruise ship floating on the water.,4.6,large white cruise ship floating on water,large cruise ship floating on the water,large white cruise ship floating water,large cruise ship floating water,0.94,0.95,0.96
Two bald eagles perched on a branch.,Two eagles are perched on a branch.,4.2,two bald eagles perched on a branch,two eagles are perched on a branch,two bald eagles perched branch,two eagles perched branch,0.94,0.94,0.95
A backpack standing beside a train.,A social gathering of people in a restaurant.,0.0,a backpack standing beside a train,a social gathering of people in a restaurant,backpack standing beside train,social gathering people restaurant,0.63,0.65,0.29
The bird is sitting on the branch.,A red and brown bird is perched on branches.,3.2,the bird is sitting on the branch,a red and brown bird is perched on branches,bird sitting branch,red brown bird perched branches,0.82,0.83,0.74
A group of peoples posing in fur hats.,A group of cyclists in green and white with spectators looking on.,0.0,a group of peoples posing in fur hats,a group of cyclists in green and white with spectators looking on,group peoples posing fur hats,group cyclists green white spectators looking,0.77,0.81,0.57
Black domestic cat lying on brown table.,A grey cat laying on a dining table.,1.4,black domestic cat lying on brown table,a grey cat laying on a dining table,black domestic cat lying brown table,grey cat laying dining table,0.77,0.78,0.81
A black and white cat playing with a wool basket.,A black and white cat lying on a blanket.,1.8,a black and white cat playing with a wool basket,a black and white cat lying on a blanket,black white cat playing wool basket,black white cat lying blanket,0.91,0.91,0.85
A man doing a wheelie on a mountain bike.,A woman posing by a pillar with a U2 sign.,0.0,a man doing a wheelie on a mountain bike,a woman posing by a pillar with a u sign,man wheelie mountain bike,woman posing pillar u sign,0.81,0.81,0.45
A woman equestrian riding a horse.,The woman is riding on the brown horse.,3.8,a woman equestrian riding a horse,the woman is riding on the brown horse,woman equestrian riding horse,woman riding brown horse,0.76,0.78,0.89
The white ducks are standing on the ground.,A woman in a black hat is standing by the subway.,0.0,the white ducks are standing on the ground,a woman in a black hat is standing by the subway,white ducks standing ground,woman black hat standing subway,0.77,0.75,0.68
A group of people eat at a table outside.,A group of people sitting at a restaurant table.,3.2,a group of people eat at a table outside,a group of people sitting at a restaurant table,group people eat table outside,group people sitting restaurant table,0.95,0.95,0.87
Young baby girl sitting on table.,A woman with a smiling baby sitting on the table.,1.6,young baby girl sitting on table,a woman with a smiling baby sitting on the table,young baby girl sitting table,woman smiling baby sitting table,0.82,0.83,0.9
Two cats are close together inside and black and white furry enclosure.,"Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",3.6,two cats are close together inside and black and white furry enclosure,two baby kittens are sitting inside a cow schemed fur covered dome,two cats close together inside black white furry enclosure,two baby kittens sitting inside cow schemed fur covered dome,0.77,0.79,0.77
A group of people sitting on a small sofa next to a kitchen.,A group of people standing near a small child sitting on a horse.,1.0,a group of people sitting on a small sofa next to a kitchen,a group of people standing near a small child sitting on a horse,group people sitting small sofa next kitchen,group people standing near small child sitting horse,0.93,0.93,0.82
A black and white photo of a bottle sitting atop a rock carving in front of a line of bushes.,A bottle of water sitting on a stone with other stones and a wall in the background.,2.0,a black and white photo of a bottle sitting atop a rock carving in front of a line of bushes,a bottle of water sitting on a stone with other stones and a wall in the background,black white photo bottle sitting atop rock carving front line bushes,bottle water sitting stone stones wall background,0.91,0.91,0.76
A black and white cat is sitting on a brown chair looking up.,Black and white cat sitting on wood chair looking up.,3.6,a black and white cat is sitting on a brown chair looking up,black and white cat sitting on wood chair looking up,black white cat sitting brown chair looking,black white cat sitting wood chair looking,0.91,0.93,0.97
